year,model_type,selected,sample_size,tntl_min,tntl_max,in_sample_r2,in_sample_mae,in_sample_rmse,cv_r2,cv_mae,cv_rmse,training_input_sha256
2017,linear,false,40,49814.6896987719,473376.166910915,0.3821370148301013,5.980445161472368,7.078910250079475,0.3343610009742287,6.2472850265140325,7.347501719975485,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
2017,logarithmic,true,40,49814.6896987719,473376.166910915,0.4460321147170969,5.466118927481936,6.702898008721281,0.37429867487763113,5.893017660977664,7.123671009507232,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
2017,exponential,false,40,49814.6896987719,473376.166910915,0.3652345258872187,6.068778760741338,7.175083596413115,0.32020812491071404,6.319437693277152,7.425202492254315,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
2017,quadratic,false,40,49814.6896987719,473376.166910915,0.45181790159946666,5.461517713339604,6.667802713631322,0.3168159918241076,6.1501159952196875,7.443705164365061,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
2018,linear,false,100,17861.3918564885,477025.499455906,0.5964045269689181,5.623107483824428,7.89453683185178,0.5797174763406729,5.694446541714399,8.056087559893607,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
2018,logarithmic,false,100,17861.3918564885,477025.499455906,0.6426048806351885,5.76329673849507,7.428956593807891,0.614903390168956,6.027025569835423,7.711491066552536,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
2018,exponential,false,100,17861.3918564885,477025.499455906,0.5357738357964502,6.1617457847423704,8.466780855782858,0.5189688787108448,6.218220774826091,8.618666967921271,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
2018,quadratic,true,100,17861.3918564885,477025.499455906,0.6830057623258228,5.139313019062398,6.996473539328524,0.6290653723599036,5.547809010430985,7.568367305792146,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
2019,linear,false,113,21057.3481773736,479881.377318369,0.6331985818142938,5.207029143805025,7.074957239285708,0.6112574217954231,5.362257036328133,7.283487372249603,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
2019,logarithmic,false,113,21057.3481773736,479881.377318369,0.6401640010025333,5.261502141915078,7.007459894922194,0.6268377612028905,5.346280352644868,7.136038118909714,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
2019,exponential,false,113,21057.3481773736,479881.377318369,0.5812307791147097,5.675996143114684,7.559545637862782,0.5557343614339285,5.831621561925611,7.78627392662598,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
2019,quadratic,true,113,21057.3481773736,479881.377318369,0.6894702628283543,4.719621073862983,6.509684105603846,0.6617057838770296,4.932684217402066,6.7944702688134955,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
2020,linear,false,220,3878.39383311879,490023.819112615,0.6413263883526056,6.566099202313006,7.982629861819882,0.6312408393659239,6.571124331246156,8.09408364875781,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
2020,logarithmic,false,220,3878.39383311879,490023.819112615,0.7018451061713367,5.646101492082769,7.278087130622226,0.6980051653328714,5.661149431930279,7.324804483905598,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
2020,exponential,false,220,3878.39383311879,490023.819112615,0.5493494720101972,7.607114614702148,8.947799037991786,0.5361328461585806,7.644749054420629,9.078060864428629,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
2020,quadratic,true,220,3878.39383311879,490023.819112615,0.7397342564775724,5.413251905035108,6.799935357895413,0.7302434949042182,5.4742243208555,6.922807294450318,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
2021,linear,false,242,5519.34936001441,505224.515250535,0.6575468221956009,6.166069720387447,7.568505360517909,0.6429095668001643,6.270585367254738,7.728560841014176,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
