qa_mode,window_id,label,start_date_utc,end_date_utc,inclusive_calendar_days,image_available_days,qualified_days,mean_of_daily_means,relative_change_vs_baseline_percent,valid_fraction_mean,valid_fraction_median,analysis_collection_endpoint_utc,analysis_uses_latest_strict_qualified_date,no_imputation
strict,pre_conflict_baseline,Pre-conflict baseline,2026-01-01,2026-02-27,58,58,47,67.23183490694599,0.0,0.1915195863150982,0.187725631768953,2026-08-19,2026-08-12,True
strict,conflict_evaluation,Conflict evaluation,2026-02-28,2026-04-07,39,36,20,55.61991566160809,-17.271459661051473,0.26940879670730894,0.19629487002179413,2026-08-19,2026-08-12,True
strict,ceasefire_evaluation,Ceasefire evaluation,2026-04-08,2026-04-21,14,14,11,61.3582627055188,-8.736296145355348,0.19776451762914335,0.1993365500603136,2026-08-19,2026-08-12,True
strict,extended_monitoring,Extended monitoring,2026-04-22,2026-08-19,120,107,90,59.254862665306256,-11.86487361631655,0.6912919553998399,0.7925691937424789,2026-08-19,2026-08-12,True
permissive,pre_conflict_baseline,Pre-conflict baseline,2026-01-01,2026-02-27,58,58,48,65.20254141144407,0.0,0.21357387618292256,0.1928414471055735,2026-08-19,2026-08-12,True
permissive,conflict_evaluation,Conflict evaluation,2026-02-28,2026-04-07,39,36,20,54.72279183826343,-16.07260905223133,0.28450124093770895,0.2005870083802314,2026-08-19,2026-08-12,True
permissive,ceasefire_evaluation,Ceasefire evaluation,2026-04-08,2026-04-21,14,14,12,58.5741617953612,-10.165830154159435,0.21679950631170355,0.2039101223110136,2026-08-19,2026-08-12,True
permissive,extended_monitoring,Extended monitoring,2026-04-22,2026-08-19,120,107,92,59.80048567567532,-8.285038617866833,0.7637944953124333,0.8844996779189452,2026-08-19,2026-08-12,True
