qa_mode,window_id,start_date_utc,end_date_utc,inclusive_calendar_days,qualified_days,mean_of_daily_means,baseline_mean_of_daily_means,relative_change_vs_baseline_percent
strict,baseline,2026-01-01,2026-02-27,58,47,67.231834906946,67.231834906946,0.000000000000
strict,conflict,2026-02-28,2026-04-07,39,20,55.619915661608,67.231834906946,-17.271459661051
strict,ceasefire_evaluation,2026-04-08,2026-04-21,14,11,61.358262705519,67.231834906946,-8.736296145355
strict,extended_monitoring,2026-04-22,2026-07-31,101,83,59.752430113881,67.231834906946,-11.124796464974
permissive,baseline,2026-01-01,2026-02-27,58,48,65.202541411444,65.202541411444,0.000000000000
permissive,conflict,2026-02-28,2026-04-07,39,20,54.722791838263,65.202541411444,-16.072609052231
permissive,ceasefire_evaluation,2026-04-08,2026-04-21,14,12,58.574161795361,65.202541411444,-10.165830154159
permissive,extended_monitoring,2026-04-22,2026-07-31,101,84,59.863431544922,65.202541411444,-8.188499636588
