support,radius_km,n,min_utc_hour,median_utc_hour,mean_utc_hour,max_utc_hour,min_local_time,median_local_time,mean_local_time,max_local_time,local_date_counts
25 km,25,9895,19.944793701171875,19.945844650268555,19.94584870398677,19.9468936920166,2025-03-29T02:26:41.257324+06:30,2025-03-29T02:26:45.040741+06:30,2025-03-29T02:26:45.055334+06:30,2025-03-29T02:26:48.817291+06:30,"{""2025-03-29"": 9895}"
50 km,50,39575,18.270952224731445,19.945844650268555,19.94428182205518,19.94794464111328,2025-03-29T00:46:15.428009+06:30,2025-03-29T02:26:45.040741+06:30,2025-03-29T02:26:39.414559+06:30,2025-03-29T02:26:52.600708+06:30,"{""2025-03-29"": 39575}"
