qa_mode,window,start_date,end_date,n,mean_mean,relative_to_first_pct,baseline_n
strict,w1,2026-01-01,2026-02-27,47,67.231834906946,0.000000000000,47
strict,w2,2026-02-28,2026-04-07,20,55.619915661608,-17.271459661051,47
strict,w3,2026-04-08,2026-04-21,11,61.358262705519,-8.736296145355,47
strict,w4,2026-04-22,2026-07-31,83,59.752430113881,-11.124796464974,47
permissive,w1,2026-01-01,2026-02-27,48,65.202541411444,0.000000000000,48
permissive,w2,2026-02-28,2026-04-07,20,54.722791838263,-16.072609052231,48
permissive,w3,2026-04-08,2026-04-21,12,58.574161795361,-10.165830154159,48
permissive,w4,2026-04-22,2026-07-31,84,59.863431544922,-8.188499636588,48
